INTRO|Oh you're the new guy right?$Ahem...$My name is Avery, and I am the mayor of this village. It is a pleasure to meet you. Please come to me if you have any questions.|||
HATE GIFT|EW WHAT IS THAT! I will curse you and all your ancestors for giving me this!|||
DISLIKE GIFT|Listen I know pranking people is fun, but don't do it to me.|||
NEUTRAL GIFT|Thank you? I'm sure I'll make use of this somehow.|||
LIKE GIFT|Hehehe... This will do nicely.|||
LOVE GIFT|This is incredible! Thank you so much! It's exactly what I needed...|||
QUEST|You completed the quest|||
GREETING|Greetings peasant.|||
0 STARS|Don't tell Jimmy, but I've got something absolutely devious planned.|Miss Sophia never lets me do what I want.|Oh don't mind me, nothing to see here.|School would be more fun if I were the etacher.
2 STARS|Hello|||
