INTRO|Hiya mister! Who are you? I'm Benji! We should be friends, Okay?||
HATE GIFT|This is gross! Get it away from me!||
DISLIKE GIFT|My mom always says that I should say thank you after receiving a gift, even if I don't like it. So, uhh, thank you.||
NEUTRAL GIFT|Thank you.||
LIKE GIFT|Oh wow this is neat! I can't wait to show Mom!||
LOVE GIFT|THIS IS AMAZING! Thank you so much!||
QUEST|You completed the quest||
GREETING|Hiya mister!||
0 STARS|Watch how fast I am! WOOOOOOOOOOOOOSH!|Miss Sophia is kind and sweet, she really is the best!|Tell me if you see any spiders..$I love spiders!
2 STARS|Hello||
