INTRO|Oh do I know you? I'm Din.||
HATE GIFT|Hey man, I hate this.||
DISLIKE GIFT|Uh I'm pretty sure this is trash...||
NEUTRAL GIFT|It's the thought that counts... I guess.||
LIKE GIFT|Thanks man! This is pretty cool.||
LOVE GIFT|Oh yeah! This is great! You are great!||
QUEST|Thanks man! I knew posting would be a good idea!||
GREETING|Oh woah, didn't see you there!||
0 STARS|I need to find these herbs...|Please, buy some seeds from my shop! I've got quite the collection.|May Drest guide my hand in the garden today.
2 STARS|Hello||
