INTRO|You're the new guy? Okay, my name is Jimmy, but whatever you do, do NOT listen to Avery!||
HATE GIFT|AHHHHHHHH! GET THAT AWAY FROM ME!||
DISLIKE GIFT|Do adults like this stuff? I certainly don't.||
NEUTRAL GIFT|Hmm... I don't know.||
LIKE GIFT|Oh wow this is cool!||
LOVE GIFT|This is the best! Thank you so much!||
QUEST|You completed the quest||
GREETING|Morning mister.|Afternoon mister.|Evening mister.
0 STARS|If Avery tells you he is up to something, PLEASE tell me before it's too late.|I like Miss Sophia, she know so many things!|When I grow up, I want to be a farmer just like Daddy!
2 STARS|Hello||
