INTRO|...$.....$......$Oh hi! I'm Lana, you must be PLAYER. Nice to meet you.|||
HATE GIFT|How can you be so cruel? Please, just go away...|||
DISLIKE GIFT|Why would you give me this?|||
NEUTRAL GIFT|Ah... Ok...|||
LIKE GIFT|Oh! Ah... this is sweet... Thank you.|||
LOVE GIFT|Oh wow... I really love this. Seriously... Thank you so much.|||
QUEST|You completed the quest|||
GREETING|Oh hi! it's nice to see you today.|||
0 STARS|I made another doll for Benji, he always likes the dolls I make.|My parents are so different. I sometimes if wonder is Mom knows what Dad sounds like.$They make a good team though.|I hope dad brings back so nice wood, I've got an idea of something I could make.|I tired making a doll for Keba once, she said she was too old to play with toys...
2 STARS|Hello|||
