INTRO|Oh gods another one? Didn't those twins just get here? Leave me alone and let me work.|
HATE GIFT|The gods hate people like you.|
DISLIKE GIFT|Why, kid? I don't want this trash.|
NEUTRAL GIFT|Just let me farm, kid.|
LIKE GIFT|Ok ok... You did good with this one.|
LOVE GIFT|Huh... You managed to put a smile on my old face... Thanks kid.|
QUEST|You completed the quest|
GREETING|...|
0 STARS|Why did you come all the way out here to talk to me?$I don't have time for you.|Seriously? You have to really go out of your way to talk to me, and I don't even want to.
2 STARS|Hello|
