INTRO|Hey there! Welcome to the village. I work to the forest most of the time, but I'm sure we'll see each other sometimes.||
HATE GIFT|I could just leave you in the woods, no one would know.||
DISLIKE GIFT|No thanks.||
NEUTRAL GIFT|Ok.||
LIKE GIFT|Oh thank you!||
LOVE GIFT|This is quite nice... you my friend, are good.||
QUEST|You completed the quest||
GREETING|Hey.||
0 STARS|The woods are such peaceful place, I like it there.|The goddesses really blessed me with such a wonderful family.|It's a good day.
2 STARS|Hello||
